,Number,Direction,Active,Free_bici,Free_stand,Total_stands,Ticket,Update_date,Latitude,Longitude,Folder_datetime
152,153,Llano de la Zaidía - Doctor Olóriz,1,5,19,24,0,2025-04-30 23:50:05,39.48305822805289,-0.3805912745331588,2025-05-01 00:00:25
153,154,Pescadores - Progreso,1,7,8,15,0,2025-04-30 23:50:05,39.46987629622899,-0.3295542305651281,2025-05-01 00:00:25
154,155,Salamanca - Reina Doña Germana,1,0,0,20,0,2025-04-30 23:50:05,39.46495329574819,-0.3630783484267159,2025-05-01 00:00:25
155,156,Puerto Rico - Cuba,1,13,2,15,0,2025-04-30 23:50:05,39.46096428829767,-0.3763453968184098,2025-05-01 00:00:25
156,157,Pérez Galdós - Marqués de Zenete,1,15,5,20,0,2025-04-30 23:50:05,39.46405230416093,-0.387366432507832,2025-05-01 00:00:25
157,158,Doctor Lluch - Virgen del Sufragio,1,13,2,15,0,2025-04-30 23:50:05,39.46669828513057,-0.3277192268301427,2025-05-01 00:00:25
158,159,Francisco Cubells - San José de la Vega,1,17,0,17,0,2025-04-30 23:50:05,39.46344927686635,-0.3347222532485526,2025-05-01 00:00:25
159,160,José María de Haro - Justo y Pastor,1,18,2,20,0,2025-04-30 23:50:05,39.467336291769534,-0.3389812647099949,2025-05-01 00:00:25
160,161,Mediterráneo - Plaza Cruz de Cañamelar,1,11,4,15,0,2025-04-30 23:50:05,39.46796929073871,-0.3317262387298495,2025-05-01 00:00:25
161,162,Armada Española - Mariano Cuber,1,8,10,19,0,2025-04-30 23:50:05,39.46360427573933,-0.3297952360224295,2025-05-01 00:00:25
162,163,Paseo Neptuno 32-34,1,11,9,20,0,2025-04-30 23:50:05,39.46443727525528,-0.3234012136184579,2025-05-01 00:00:25
163,164,Pavía - Columbretes,1,4,13,17,0,2025-04-30 23:50:05,39.46846028903177,-0.3246342149862025,2025-05-01 00:00:25
164,165,Pavía - Espadán,1,16,3,20,0,2025-04-30 23:50:05,39.471409299035706,-0.3245702116150898,2025-05-01 00:00:25
165,166,Don Vicente Guillot - Progreso,1,13,2,15,0,2025-04-30 23:50:05,39.47334930757559,-0.3288112249578787,2025-05-01 00:00:25
166,167,Pavía - Acequia de la Cadena,1,4,16,20,0,2025-04-30 23:50:05,39.474908310742784,-0.3246102088459378,2025-05-01 00:00:25
167,168,Malvarrosa - Río Tajo,1,0,0,15,0,2024-09-30 17:36:02,39.47687131828106,-0.3278872186994104,2024-10-02 00:15:01
168,169,Pavía (Instituto Isabel de Villena),1,4,14,18,0,2025-04-30 23:50:05,39.47878532308192,-0.324645206348971,2025-05-01 00:00:25
169,170,Isabel de Villena - Mendizábal,1,12,8,20,0,2025-04-30 23:50:05,39.482973337910934,-0.3253342052924199,2025-05-01 00:00:25
170,171,Gran Canaria - Ingeniero Manuel Maese,1,14,1,15,0,2025-04-30 23:50:05,39.483060339803416,-0.3290082180620208,2025-05-01 00:00:25
171,172,Pío XII - Campanar,1,4,16,20,0,2025-04-30 23:50:05,39.48146236504626,-0.3933454386575609,2025-05-01 00:00:25
172,173,Pío XII - Monestir de Poblet,1,1,19,20,0,2025-04-30 23:50:05,39.484541375368174,-0.394678441209281,2025-05-01 00:00:25
173,174,Monduber - Peset Aleixandre,1,8,11,19,0,2025-04-30 23:50:05,39.489438388167024,-0.3866474095764486,2025-05-01 00:00:25
