Direction,Number,Active,Free_bici,Free_stand,Total_stands,Ticket,Update_date,Latitude,Longitude,Folder_datetime
Plaza España,58,1,12,8,20,0,2025-04-30 23:19:46,39.46621830848607,-0.3815864106638383,2025-04-30 23:30:06
Baleares - Río Escalona,59,1,14,0,15,0,2025-04-30 23:50:05,39.463088285667624,-0.3545493213542055,2025-05-01 00:00:25
Baleares - Río Escalona,59,1,14,0,15,0,2025-04-30 23:39:59,39.463088285667624,-0.3545493213542055,2025-04-30 23:45:04
Baleares - Río Escalona,59,1,11,3,15,0,2025-04-30 23:19:46,39.463088285667624,-0.3545493213542055,2025-04-30 23:30:06
Baleares - Lebón,60,1,19,0,19,0,2025-04-30 23:50:05,39.46223128102797,-0.3517763125261459,2025-05-01 00:00:25
Baleares - Lebón,60,1,19,0,19,0,2025-04-30 23:39:59,39.46223128102797,-0.3517763125261459,2025-04-30 23:45:04
Baleares - Lebón,60,1,17,2,19,0,2025-04-30 23:19:46,39.46223128102797,-0.3517763125261459,2025-04-30 23:30:06
Vicent Vidal - Pintor Maella,61,1,19,1,20,0,2025-04-30 23:50:05,39.46129327599964,-0.3478302988674309,2025-05-01 00:00:25
Vicent Vidal - Pintor Maella,61,1,19,1,20,0,2025-04-30 23:39:59,39.46129327599964,-0.3478302988674309,2025-04-30 23:45:04
Vicent Vidal - Pintor Maella,61,1,19,1,20,0,2025-04-30 23:19:46,39.46129327599964,-0.3478302988674309,2025-04-30 23:30:06
Menorca - Baleares,62,1,20,0,20,0,2025-04-30 23:50:05,39.45981126842254,-0.3421522812931475,2025-05-01 00:00:25
Menorca - Baleares,62,1,20,0,20,0,2025-04-30 23:39:59,39.45981126842254,-0.3421522812931475,2025-04-30 23:45:04
Menorca - Baleares,62,1,20,0,20,0,2025-04-30 23:19:46,39.45981126842254,-0.3421522812931475,2025-04-30 23:30:06
Av Puerto 19 (Telefónica),63,1,4,14,20,0,2025-04-30 23:50:05,39.46777930285978,-0.358414330727018,2025-05-01 00:00:25
Av Puerto 19 (Telefónica),63,1,3,15,20,0,2025-04-30 23:39:59,39.46777930285978,-0.358414330727018,2025-04-30 23:45:04
Av Puerto 19 (Telefónica),63,1,2,16,20,0,2025-04-30 23:19:46,39.46777930285978,-0.358414330727018,2025-04-30 23:30:06
